multiplier,avg_fraction_on_state,std_fraction_on_state,avg_total_changes,std_total_changes,avg_frequency_changes_per_hour,std_frequency_changes_per_hour
10.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,4.1615406516370966e-7,4.573859088959743e-7,37.2,45.59824558028521,0.5166666666666666,0.6333089663928502
100000.0,8.149975998085015e-7,2.9460218392864196e-7,94.4,27.546324618721822,1.3111111111111113,0.38258784192669204
1.0e6,8.718679806597779e-7,1.556546848138085e-7,217.6,23.681216184985093,3.022222222222222,0.3289057803470152
1.0e7,9.408200044930194e-7,7.893015492737424e-8,1428.4,112.63569594049659,19.83888888888889,1.5643846658402307
1.0e8,8.975073064080531e-7,1.6222062465373544e-7,13031.2,2161.9248830613888,180.98888888888888,30.026734486963733
1.0e9,8.85490124323422e-7,1.1270350889983274e-7,127647.6,15907.82231482361,1772.8833333333332,220.9419765947724
