,High
0,66318517.59
1,65642298.54
2,65916188.52
3,65296675.47
4,64988478.36
5,66393936.57
6,67583061.39
7,67108432.17
8,66987081.33
9,65554404.24
10,65557239.54
11,66092544.18
12,65135063.37
13,66157756.08
14,65576236.05
15,66091126.53
16,65948794.47
17,65869689.6
18,66246217.44
19,67524087.15
20,68235747.45
21,67615950.87
22,66961847.16
23,68184144.99
24,69109019.85
25,68480433.84
26,68026502.31
27,68946273.63
28,69048911.49
29,69328472.07
30,69006098.46
31,68414938.41
32,68900341.77
33,69447838.2
34,69215060.07
35,69520138.35
36,69888727.35
37,70325080.02
38,68912533.56
39,70730811.45
40,71194666.53
41,71097415.74
42,70428284.94
43,71285396.13
44,71114427.54
45,71460050.61
46,71699349.93
47,74158689.15
48,72249681.66
49,70989390.81
50,72552775.23
51,72867493.53
52,72814189.89
53,71069346.27
54,70032477.06
55,71257893.72
56,72748977.99
57,72044405.94
58,72245712.24
59,72428872.62
60,71218483.05
61,72333039.48
62,72747560.34
63,71817581.94
64,73958516.97
65,73010676.18
66,73538325.51
67,74202352.77
68,74233541.07
69,72629611.86
70,73071918.66
71,73976946.42
72,75092920.5
73,76901841.9
74,72846795.84
75,71913698.61
76,75431171.79
77,73916838.06
78,74701082.04
79,74987163.81
80,77417866.5
81,73365088.68
82,74209441.02
83,78909234.3
84,75293943.27
85,73205744.82
86,76651201.38
87,73321425.06
88,73053772.74
89,74253388.17
90,75653175.78
91,78142002.12
92,75213137.22
93,74961929.64
94,74134872.63
95,76208611.05
96,74454978
97,74767995.12
98,77285457.99
99,75218524.29
100,74120412.6
101,74287695.3
102,76747318.05
103,75670471.11
104,73841135.55
105,74146497.36
106,72666754.29
107,71061690.96
108,71764845.36
109,75132898.23
110,72124928.46
111,74803436.37
112,74887361.25
113,72157534.41
114,75549403.8
115,75760633.65
116,72854734.68
117,73435120.59
118,71996772.9
119,72442198.53
120,72705881.43
121,73194120.09
122,71361949.23
123,73758344.79
124,72023708.25
125,74551661.73
126,72811921.65
127,71944886.91
128,74960795.52
129,74556481.74
130,75480789.54
131,71866916.16
132,70880231.76
133,73324543.89
134,71687158.14
135,73312919.16
136,70186717.38
137,70943175.42
138,71363366.88
139,69443301.72
140,72133434.36
141,71855007.9
142,72370465.44
143,71435099.97
144,73952562.84
145,71525829.57
146,72338143.02
147,70557858.15
148,71015759.1
149,70934385.99
150,69475907.67
151,74051514.81
152,73441925.31
153,73240902.54
154,71657671.02
155,71158374.69
156,69579396.12
157,70357118.91
158,69589886.73
159,69257306.04
160,71649732.18
161,72244861.65
162,71177654.73
163,70611445.32
164,71320553.85
165,71868050.28
166,73479351.27
167,71685173.43
168,72614301.24
169,72972683.16
170,72688586.1
171,69186423.54
172,68398493.67
173,69302954.37
174,71466855.33
175,70585644.09
176,71035889.73
177,72457225.62
178,70782697.44
179,69199182.39
180,71759174.76
181,68097101.28
182,68198605.02
183,70103926.62
184,71505415.41
185,71674682.82
186,72516766.92
187,69996185.22
188,67563497.82
189,69428558.16
190,69560116.08
191,72036467.1
192,72972399.63
193,70905465.93
194,72925050.12
195,71874571.47
196,71221885.41
197,74458380.36
198,71758040.64
199,73196388.33
200,71257326.66
201,72295897.05
202,75051525.12
203,74506296.93
204,71373290.43
205,73502317.2
206,73729141.2
207,72428872.62
208,71095998.09
209,73814200.2
210,72162921.48
211,72851332.32
212,72734517.96
213,75212853.69
214,73815901.38
215,71891583.27
